Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
04/27/2023,,05:34:45PM,06:04:27PM,pool,18.29,,goggles,,2.2.396

Swim Date,Swim Time,Set #,Set,Interval (yd),Length (yd),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (yd),Cumul Dist (yd),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
04/27/2023,05:34:45PM,1,1x20,20,20,FR,0:19.37,0:00.00,0:19.37,1,20,20,1.04,1:36.87,0:48.43,37,56,18,18,4
04/27/2023,05:35:04PM,1,1x20,20,0,REST,0:00.00,0:01.97,0:21.34,1,0,20,0,0:00.00,0:00.00,0,0,0,0,0
04/27/2023,05:35:06PM,2,1x120,120,20,FR,0:23.41,0:00.00,0:44.75,1,20,40,0.98,1:57.08,0:58.54,41,51,18,18,4
04/27/2023,05:35:30PM,2,1x120,120,20,FR,0:24.51,0:00.00,1:09.26,1,20,60,0.85,2:02.57,1:01.29,47,57,22,22,4
04/27/2023,05:35:54PM,2,1x120,120,20,FR,0:23.71,0:00.00,1:32.97,1,20,80,1.01,1:58.60,0:59.30,42,58,18,18,4
04/27/2023,05:36:18PM,2,1x120,120,20,FR,0:25.57,0:00.00,1:58.54,1,20,100,0.85,2:07.89,1:03.94,48,56,22,22,4
04/27/2023,05:36:43PM,2,1x120,120,20,FR,0:24.58,0:00.00,2:23.12,1,20,120,0.93,2:02.91,1:01.45,45,59,20,20,4
04/27/2023,05:37:08PM,2,1x120,120,20,FR,0:24.69,0:00.00,2:47.82,1,20,140,0.83,2:03.40,1:01.70,47,62,22,22,4
04/27/2023,05:37:33PM,2,1x120,120,0,REST,0:00.00,0:04.63,2:52.44,1,0,140,0,0:00.00,0:00.00,0,0,0,0,0
04/27/2023,05:37:37PM,3,2x20,20,20,FR,0:21.38,0:00.00,3:13.82,1,20,160,0.89,1:46.95,0:53.47,39,58,18,18,4
04/27/2023,05:37:59PM,3,2x20,20,0,REST,0:00.00,0:12.88,3:26.70,1,0,160,0,0:00.00,0:00.00,0,0,0,0,0
04/27/2023,05:38:12PM,3,2x20,20,20,FR,0:07.61,0:00.00,3:34.31,1,20,180,0,0:38.05,0:19.03,8,0,0,0,2
04/27/2023,05:38:19PM,3,2x20,20,0,REST,0:00.00,0:33.15,4:07.46,1,0,180,0,0:00.00,0:00.00,0,0,0,0,1
04/27/2023,05:38:52PM,4,1x40,40,20,FR,0:20.18,0:00.00,4:27.64,1,20,200,0.91,1:40.93,0:50.46,39,62,19,19,4
04/27/2023,05:39:12PM,4,1x40,40,20,FR,0:25.56,0:00.00,4:53.20,1,20,220,0.81,2:07.89,1:03.94,48,63,22,22,4
04/27/2023,05:40:57PM,4,1x40,40,0,REST,0:00.00,0:01.38,4:54.58,1,0,220,0,0:00.00,0:00.00,0,0,0,0,0
04/27/2023,05:40:58PM,5,1x80,80,20,FR,0:20.87,0:00.00,5:15.45,1,20,240,0.81,1:44.38,0:52.19,41,62,20,20,4
04/27/2023,05:41:19PM,5,1x80,80,20,FR,0:22.74,0:00.00,5:38.19,1,20,260,1.16,1:53.73,0:56.87,37,66,14,14,4
04/27/2023,05:41:42PM,5,1x80,80,20,FR,0:23.12,0:00.00,6:01.31,1,20,280,0.7,1:55.60,0:57.80,47,67,24,24,4
04/27/2023,05:42:05PM,5,1x80,80,20,FR,0:20.59,0:00.00,6:21.91,1,20,300,0.87,1:42.97,0:51.49,42,67,21,21,4
04/27/2023,05:42:26PM,5,1x80,80,0,REST,0:00.00,0:03.59,6:25.50,1,0,300,0,0:00.00,0:00.00,0,0,0,0,0
04/27/2023,05:42:29PM,6,9x20,20,20,FR,0:20.06,0:00.00,6:45.56,1,20,320,0.82,1:40.26,0:50.13,41,67,21,21,4
04/27/2023,05:42:49PM,6,9x20,20,0,REST,0:00.00,0:04.77,6:50.33,1,0,320,0,0:00.00,0:00.00,0,0,0,0,0
04/27/2023,05:42:54PM,6,9x20,20,20,FR,0:20.32,0:00.00,7:10.65,1,20,340,0.85,1:41.60,0:50.80,40,65,20,20,4
04/27/2023,05:43:14PM,6,9x20,20,0,REST,0:00.00,0:02.87,7:13.52,1,0,340,0,0:00.00,0:00.00,0,0,0,0,0
04/27/2023,05:43:17PM,6,9x20,20,20,FR,0:21.43,0:00.00,7:34.95,1,20,360,0.77,1:47.20,0:53.60,41,66,20,20,4
