Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
05/16/2023,,05:26:35PM,06:49:20PM,pool,18.29,,goggles,,2.2.396

Swim Date,Swim Time,Set #,Set,Interval (yd),Length (yd),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (yd),Cumul Dist (yd),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
05/16/2023,05:26:35PM,1,1x20,20,20,FR,0:22.26,0:00.00,0:22.26,1,20,20,0.69,1:51.38,0:55.69,43,64,21,21,4
05/16/2023,05:26:58PM,1,1x20,20,0,REST,0:00.00,0:03.46,0:25.72,1,0,20,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:27:01PM,2,1x100,100,20,FR,0:19.94,0:00.00,0:45.66,1,20,40,0.9,1:39.72,0:49.86,40,62,20,20,4
05/16/2023,05:27:21PM,2,1x100,100,20,FR,0:24.84,0:00.00,1:10.50,1,20,60,0.85,2:04.24,1:02.12,47,59,22,22,4
05/16/2023,05:27:46PM,2,1x100,100,20,FR,0:23.86,0:00.00,1:34.36,1,20,80,0.86,1:59.22,0:59.61,44,59,20,20,4
05/16/2023,05:28:10PM,2,1x100,100,20,FR,0:23.78,0:00.00,1:58.15,1,20,100,0.87,1:58.91,0:59.45,45,60,21,21,4
05/16/2023,05:28:34PM,2,1x100,100,20,FR,0:25.21,0:00.00,2:23.36,1,20,120,0.89,2:06.13,1:03.06,46,59,21,21,4
05/16/2023,05:28:59PM,2,1x100,100,0,REST,0:00.00,0:04.59,2:27.95,1,0,120,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:29:03PM,3,2x20,20,20,FR,0:21.39,0:00.00,2:49.34,1,20,140,0.9,1:46.95,0:53.47,40,59,19,19,4
05/16/2023,05:29:25PM,3,2x20,20,0,REST,0:00.00,0:04.68,2:54.02,1,0,140,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:29:29PM,3,2x20,20,20,FR,0:21.60,0:00.00,3:15.62,1,20,160,0.85,1:47.96,0:53.98,42,60,20,20,4
05/16/2023,05:29:51PM,3,2x20,20,0,REST,0:00.00,0:03.53,3:19.16,1,0,160,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:29:55PM,4,2x40,40,20,FR,0:23.75,0:00.00,3:42.91,1,20,180,0.81,1:58.75,0:59.38,44,57,20,20,4
05/16/2023,05:30:18PM,4,2x40,40,20,FR,0:26.27,0:00.00,4:09.18,1,20,200,0.73,2:11.38,1:05.69,49,58,23,23,4
05/16/2023,05:30:45PM,4,2x40,40,0,REST,0:00.00,0:03.71,4:12.88,1,0,200,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:30:48PM,4,2x40,40,20,FR,0:23.35,0:00.00,4:36.23,1,20,220,0.81,1:56.78,0:58.39,45,61,22,22,4
05/16/2023,05:31:12PM,4,2x40,40,20,FR,0:25.11,0:00.00,5:01.34,1,20,240,0.84,2:05.61,1:02.80,47,59,22,22,4
05/16/2023,05:31:37PM,4,2x40,40,0,REST,0:00.00,0:03.72,5:05.05,1,0,240,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:31:40PM,5,1x20,20,20,FR,0:22.82,0:00.00,5:27.87,1,20,260,0.92,1:54.16,0:57.08,42,57,19,19,4
05/16/2023,05:32:03PM,5,1x20,20,0,REST,0:00.00,0:03.33,5:31.20,1,0,260,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:32:07PM,6,1x40,40,20,FR,0:22.19,0:00.00,5:53.39,1,20,280,0.98,1:50.97,0:55.49,40,54,18,18,4
05/16/2023,05:32:29PM,6,1x40,40,20,FR,0:25.79,0:00.00,6:19.18,1,20,300,0.78,2:08.97,1:04.49,50,58,24,24,4
05/16/2023,05:32:55PM,6,1x40,40,0,REST,0:00.00,0:03.79,6:22.98,1,0,300,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:32:58PM,7,1x20,20,20,FR,0:21.95,0:00.00,6:44.92,1,20,320,0.84,1:49.77,0:54.89,42,60,20,20,4
05/16/2023,05:33:20PM,7,1x20,20,0,REST,0:00.00,0:04.77,6:49.69,1,0,320,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:33:25PM,8,1x60,60,20,FR,0:22.35,0:00.00,7:12.05,1,20,340,0.91,1:51.79,0:55.89,41,57,19,19,4
05/16/2023,05:33:47PM,8,1x60,60,20,FR,0:27.06,0:00.00,7:39.11,1,20,360,0.79,2:15.27,1:07.63,51,57,24,24,4
05/16/2023,05:34:15PM,8,1x60,60,20,FR,0:27.30,0:00.00,8:06.40,1,20,380,0.73,2:16.48,1:08.24,52,57,25,25,4
05/16/2023,05:34:42PM,8,1x60,60,0,REST,0:00.00,0:01.90,8:08.30,1,0,380,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:34:44PM,9,1x20,20,20,FR,0:24.50,0:00.00,8:32.80,1,20,400,0.81,2:02.41,1:01.21,47,57,23,23,4
05/16/2023,05:35:08PM,9,1x20,20,0,REST,0:00.00,0:30.81,9:03.61,1,0,400,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:35:39PM,10,1x80,80,20,FR,0:24.68,0:00.00,9:28.29,1,20,420,0.9,2:03.40,1:01.70,45,57,20,20,4
05/16/2023,05:36:04PM,10,1x80,80,20,FR,0:26.60,0:00.00,9:54.89,1,20,440,0.89,2:12.91,1:06.45,48,55,21,21,4
05/16/2023,05:36:30PM,10,1x80,80,20,FR,0:26.06,0:00.00,10:20.95,1,20,460,0.9,2:10.26,1:05.13,47,57,21,21,4
05/16/2023,05:36:56PM,10,1x80,80,20,FR,0:26.85,0:00.00,10:47.80,1,20,480,0.83,2:14.27,1:07.14,49,57,22,22,4
05/16/2023,05:37:23PM,10,1x80,80,0,REST,0:00.00,0:03.70,10:51.50,1,0,480,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:37:27PM,11,1x200,200,20,FR,0:23.68,0:00.00,11:15.18,1,20,500,0.84,1:58.45,0:59.22,46,56,22,22,4
05/16/2023,05:37:51PM,11,1x200,200,20,FR,0:25.81,0:00.00,11:40.99,1,20,520.1,0.9,2:08.97,1:04.49,46,58,20,20,4
05/16/2023,05:38:16PM,11,1x200,200,20,FR,0:27.18,0:00.00,12:08.17,1,20,540.1,0.82,2:15.87,1:07.94,50,58,23,23,4
05/16/2023,05:38:44PM,11,1x200,200,20,FR,0:26.96,0:00.00,12:35.13,1,20,560.1,0.8,2:14.87,1:07.43,50,58,23,23,4
05/16/2023,05:39:11PM,11,1x200,200,20,FR,0:26.02,0:00.00,13:01.14,1,20,580.1,0.79,2:10.07,1:05.04,49,58,23,23,4
05/16/2023,05:39:37PM,11,1x200,200,20,FR,0:27.61,0:00.00,13:28.76,1,20,600.1,0.77,2:18.13,1:09.06,52,59,24,24,4
05/16/2023,05:40:04PM,11,1x200,200,20,FR,0:25.71,0:00.00,13:54.47,1,20,620.1,0.78,2:08.61,1:04.30,48,57,22,22,4
05/16/2023,05:40:30PM,11,1x200,200,20,FR,0:25.61,0:00.00,14:20.08,1,20,640.1,0.85,2:08.07,1:04.03,46,56,20,20,4
05/16/2023,05:40:55PM,11,1x200,200,20,FR,0:27.88,0:00.00,14:47.95,1,20,660.1,0.87,2:19.39,1:09.70,49,55,21,21,4
05/16/2023,05:41:23PM,11,1x200,200,20,FR,0:26.00,0:00.00,15:13.96,1,20,680.1,0.78,2:10.07,1:05.04,50,59,24,24,4
05/16/2023,05:41:49PM,11,1x200,200,0,REST,0:00.00,0:03.44,15:17.39,1,0,680.1,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:41:53PM,12,2x80,80,20,FR,0:22.46,0:00.00,15:39.86,1,20,700.1,0.86,1:52.34,0:56.17,42,59,20,20,4
05/16/2023,05:42:15PM,12,2x80,80,20,FR,0:26.08,0:00.00,16:05.94,1,20,720.1,0.84,2:10.44,1:05.22,48,58,22,22,4
05/16/2023,05:42:41PM,12,2x80,80,20,FR,0:27.76,0:00.00,16:33.70,1,20,740.1,0.81,2:18.76,1:09.38,51,55,23,23,4
05/16/2023,05:43:09PM,12,2x80,80,20,FR,0:27.32,0:00.00,17:01.02,1,20,760.1,0.81,2:16.68,1:08.34,48,58,21,21,4
05/16/2023,05:43:36PM,12,2x80,80,0,REST,0:00.00,0:02.96,17:03.98,1,0,760.1,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:43:39PM,12,2x80,80,20,FR,0:23.82,0:00.00,17:27.81,1,20,780.1,0.84,1:59.06,0:59.53,44,55,20,20,4
05/16/2023,05:44:03PM,12,2x80,80,20,FR,0:26.02,0:00.00,17:53.83,1,20,800.1,0.84,2:10.07,1:05.04,48,56,22,22,4
05/16/2023,05:44:29PM,12,2x80,80,20,FR,0:26.87,0:00.00,18:20.70,1,20,820.1,0.8,2:14.27,1:07.14,50,57,23,23,4
05/16/2023,05:44:56PM,12,2x80,80,20,FR,0:30.88,0:00.00,18:51.57,1,20,840.1,0.73,2:34.46,1:17.23,56,54,25,25,4
05/16/2023,05:45:48PM,13,1x60,60,20,FR,0:21.33,0:00.00,19:12.91,1,20,860.1,1.04,1:46.70,0:53.35,39,59,18,18,4
05/16/2023,05:46:09PM,13,1x60,60,20,FR,0:25.95,0:00.00,19:38.86,1,20,880.1,0.85,2:09.70,1:04.85,48,58,22,22,4
05/16/2023,05:46:35PM,13,1x60,60,20,FR,0:26.01,0:00.00,20:04.87,1,20,900.1,0.87,2:10.07,1:05.04,47,59,21,21,4
05/16/2023,05:47:01PM,13,1x60,60,0,REST,0:00.00,0:11.98,20:16.85,1,0,900.1,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:47:13PM,14,3x20,20,20,FR,0:17.59,0:00.00,20:34.44,1,20,920.1,1.12,1:27.92,0:43.96,34,57,16,16,4
05/16/2023,05:47:31PM,14,3x20,20,0,REST,0:00.00,0:03.87,20:38.31,1,0,920.1,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:47:35PM,14,3x20,20,20,FR,0:23.19,0:00.00,21:01.50,1,20,940.1,0.86,1:55.90,0:57.95,43,57,20,20,4
05/16/2023,05:47:58PM,14,3x20,20,0,REST,0:00.00,0:03.56,21:05.06,1,0,940.1,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:48:01PM,14,3x20,20,20,FR,0:23.41,0:00.00,21:28.46,1,20,960.1,0.9,1:57.08,0:58.54,42,55,19,19,4
05/16/2023,05:48:25PM,14,3x20,20,0,REST,0:00.00,0:04.04,21:32.51,1,0,960.1,0,0:00.00,0:00.00,0,0,0,0,0
05/16/2023,05:48:29PM,15,1x100,100,20,FR,0:23.00,0:00.00,21:55.52,1,20,980.1,0.87,1:55.02,0:57.51,42,56,19,19,4
