Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
04/04/2023,,05:32:27PM,05:55:44PM,pool,18.29,,goggles,,2.2.366

Swim Date,Swim Time,Set #,Set,Interval (yd),Length (yd),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (yd),Cumul Dist (yd),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
04/04/2023,05:32:27PM,1,1x40,40,20,FR,0:19.61,0:00.00,0:19.61,1,20,20,1.04,1:38.01,0:49.00,38,56,18,18,4
04/04/2023,05:32:47PM,1,1x40,40,20,FR,0:25.06,0:00.00,0:44.66,1,20,40,0.94,2:05.26,1:02.63,45,54,20,20,4
04/04/2023,05:33:12PM,1,1x40,40,0,REST,0:00.00,0:03.52,0:48.18,1,0,40,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:33:15PM,2,2x80,80,20,FR,0:22.14,0:00.00,1:10.32,1,20,60,0.97,1:50.70,0:55.35,41,54,19,19,4
04/04/2023,05:33:37PM,2,2x80,80,20,FR,0:25.32,0:00.00,1:35.64,1,20,80,0.89,2:06.65,1:03.32,46,55,21,21,4
04/04/2023,05:34:03PM,2,2x80,80,20,FR,0:28.58,0:00.00,2:04.22,1,20,100,0.81,2:22.88,1:11.44,51,54,22,22,4
04/04/2023,05:34:31PM,2,2x80,80,20,FR,0:24.12,0:00.00,2:28.33,1,20,120,0.86,2:00.63,1:00.32,45,55,21,21,4
04/04/2023,05:34:55PM,2,2x80,80,0,REST,0:00.00,0:03.89,2:32.23,1,0,120,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:34:59PM,2,2x80,80,20,FR,0:22.82,0:00.00,2:55.05,1,20,140,0.92,1:54.16,0:57.08,42,56,19,19,4
04/04/2023,05:35:22PM,2,2x80,80,20,FR,0:25.68,0:00.00,3:20.73,1,20,160,0.89,2:08.43,1:04.21,47,55,21,21,4
04/04/2023,05:35:48PM,2,2x80,80,20,FR,0:30.15,0:00.00,3:50.87,1,20,180,0.69,2:30.64,1:15.32,57,55,27,27,4
04/04/2023,05:36:18PM,2,2x80,80,20,FR,0:29.69,0:00.00,4:20.57,1,20,200,0.81,2:28.44,1:14.22,53,55,23,23,4
04/04/2023,05:36:48PM,2,2x80,80,0,REST,0:00.00,0:04.62,4:25.19,1,0,200,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:36:52PM,3,8x20,20,20,FR,0:24.58,0:00.00,4:49.76,1,20,220,0.87,2:02.91,1:01.45,46,52,21,21,4
04/04/2023,05:37:17PM,3,8x20,20,0,REST,0:00.00,0:30.52,5:20.28,1,0,220,0,0:00.00,0:00.00,0,0,0,0,1
04/04/2023,05:37:47PM,3,8x20,20,20,FR,0:22.89,0:00.00,5:43.17,1,20,240,1.01,1:54.44,0:57.22,41,51,18,18,4
04/04/2023,05:38:10PM,3,8x20,20,0,REST,0:00.00,0:09.93,5:53.10,1,0,240,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:38:20PM,3,8x20,20,20,FR,0:24.35,0:00.00,6:17.45,1,20,260,0.92,2:01.76,1:00.88,44,51,20,20,4
04/04/2023,05:38:44PM,3,8x20,20,0,REST,0:00.00,0:04.27,6:21.72,1,0,260,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:38:49PM,3,8x20,20,20,FR,0:25.42,0:00.00,6:47.14,1,20,280,0.89,2:07.00,1:03.50,45,51,20,20,4
04/04/2023,05:39:14PM,3,8x20,20,0,REST,0:00.00,0:04.62,6:51.76,1,0,280,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:39:19PM,3,8x20,20,20,FR,0:24.18,0:00.00,7:15.94,1,20,300,0.9,2:00.95,1:00.48,43,52,19,19,4
04/04/2023,05:39:43PM,3,8x20,20,0,REST,0:00.00,0:05.10,7:21.04,1,0,300,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:39:48PM,3,8x20,20,20,FR,0:23.38,0:00.00,7:44.42,1,20,320,0.94,1:56.93,0:58.47,42,53,19,19,4
04/04/2023,05:40:11PM,3,8x20,20,0,REST,0:00.00,0:05.41,7:49.83,1,0,320,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:40:17PM,3,8x20,20,20,FR,0:23.21,0:00.00,8:13.04,1,20,340,0.93,1:56.04,0:58.02,42,52,19,19,4
04/04/2023,05:40:40PM,3,8x20,20,0,REST,0:00.00,0:05.63,8:18.67,1,0,340,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:40:46PM,3,8x20,20,20,FR,0:24.66,0:00.00,8:43.33,1,20,360,0.89,2:03.24,1:01.62,46,52,21,21,4
04/04/2023,05:41:10PM,3,8x20,20,0,REST,0:00.00,0:04.07,8:47.40,1,0,360,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:41:14PM,4,1x80,80,20,FR,0:24.61,0:00.00,9:12.00,1,20,380,0.84,2:03.07,1:01.54,47,53,22,22,4
04/04/2023,05:41:39PM,4,1x80,80,20,FR,0:32.61,0:00.00,9:44.61,1,20,400,0.74,2:43.00,1:21.50,58,54,25,25,4
04/04/2023,05:42:12PM,4,1x80,80,20,FR,0:24.07,0:00.00,10:08.68,1,20,420,0.9,2:00.32,1:00.16,45,53,21,21,4
04/04/2023,05:42:36PM,4,1x80,80,20,FR,0:29.23,0:00.00,10:37.91,1,20,440,0.81,2:26.07,1:13.04,52,54,23,23,4
04/04/2023,05:43:05PM,4,1x80,80,0,REST,0:00.00,0:04.76,10:42.68,1,0,440,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:43:10PM,5,3x20,20,20,FR,0:24.33,0:00.00,11:07.00,1,20,460,0.89,2:01.60,1:00.80,44,53,20,20,4
04/04/2023,05:43:34PM,5,3x20,20,0,REST,0:00.00,0:04.59,11:11.59,1,0,460,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:43:39PM,5,3x20,20,20,FR,0:24.62,0:00.00,11:36.21,1,20,480,0.86,2:03.07,1:01.54,45,54,20,20,4
04/04/2023,05:44:03PM,5,3x20,20,0,REST,0:00.00,0:04.59,11:40.80,1,0,480,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:44:08PM,5,3x20,20,20,FR,0:23.81,0:00.00,12:04.61,1,20,500,0.93,1:59.06,0:59.53,43,51,19,19,4
04/04/2023,05:44:32PM,5,3x20,20,0,REST,0:00.00,0:05.99,12:10.61,1,0,500,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:44:38PM,6,2x40,40,20,FR,0:27.89,0:00.00,12:38.49,1,20,520.1,0.75,2:19.39,1:09.70,51,54,23,23,4
04/04/2023,05:45:05PM,6,2x40,40,20,FR,0:25.70,0:00.00,13:04.19,1,20,540.1,0.9,2:08.43,1:04.21,47,52,21,21,4
04/04/2023,05:45:31PM,6,2x40,40,0,REST,0:00.00,0:05.04,13:09.23,1,0,540.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:45:36PM,6,2x40,40,20,FR,0:24.34,0:00.00,13:33.57,1,20,560.1,0.86,2:01.76,1:00.88,43,52,19,19,4
04/04/2023,05:46:01PM,6,2x40,40,20,FR,0:29.88,0:00.00,14:03.45,1,20,580.1,0.82,2:29.41,1:14.71,53,51,23,23,4
04/04/2023,05:46:30PM,6,2x40,40,0,REST,0:00.00,0:06.70,14:10.15,1,0,580.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:46:37PM,7,3x20,20,20,FR,0:25.50,0:00.00,14:35.64,1,20,600.1,0.86,2:07.53,1:03.77,46,52,21,21,4
04/04/2023,05:47:03PM,7,3x20,20,0,REST,0:00.00,0:04.91,14:40.55,1,0,600.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:47:08PM,7,3x20,20,20,FR,0:24.96,0:00.00,15:05.51,1,20,620.1,0.85,2:04.75,1:02.37,45,52,20,20,4
04/04/2023,05:47:32PM,7,3x20,20,0,REST,0:00.00,0:06.61,15:12.13,1,0,620.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:47:39PM,7,3x20,20,20,FR,0:24.47,0:00.00,15:36.60,1,20,640.1,0.91,2:02.41,1:01.21,43,52,19,19,4
04/04/2023,05:48:04PM,7,3x20,20,0,REST,0:00.00,0:05.13,15:41.73,1,0,640.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:48:09PM,8,1x60,60,20,FR,0:24.63,0:00.00,16:06.37,1,20,660.1,0.84,2:03.24,1:01.62,47,53,22,22,4
04/04/2023,05:48:33PM,8,1x60,60,20,FR,0:35.28,0:00.00,16:41.65,1,20,680.1,0.65,2:56.53,1:28.26,64,51,29,29,4
04/04/2023,05:49:09PM,8,1x60,60,20,FR,0:24.28,0:00.00,17:05.93,1,20,700.1,0.96,2:01.44,1:00.72,43,51,19,19,4
04/04/2023,05:49:33PM,8,1x60,60,0,REST,0:00.00,0:04.53,17:10.46,1,0,700.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:49:37PM,9,7x20,20,20,FR,0:23.48,0:00.00,17:33.94,1,20,720.1,0.87,1:57.38,0:58.69,43,55,20,20,4
04/04/2023,05:50:01PM,9,7x20,20,0,REST,0:00.00,0:05.96,17:39.89,1,0,720.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:50:07PM,9,7x20,20,20,FR,0:24.27,0:00.00,18:04.17,1,20,740.1,0.86,2:01.44,1:00.72,44,54,20,20,4
04/04/2023,05:50:31PM,9,7x20,20,0,REST,0:00.00,0:05.23,18:09.39,1,0,740.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:50:36PM,9,7x20,20,20,FR,0:23.54,0:00.00,18:32.93,1,20,760.1,0.89,1:57.68,0:58.84,44,54,20,20,4
04/04/2023,05:51:00PM,9,7x20,20,0,REST,0:00.00,0:05.34,18:38.27,1,0,760.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:51:05PM,9,7x20,20,20,FR,0:22.86,0:00.00,19:01.13,1,20,780.1,1.03,1:54.30,0:57.15,40,49,17,17,4
04/04/2023,05:51:28PM,9,7x20,20,0,REST,0:00.00,0:05.34,19:06.47,1,0,780.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:51:33PM,9,7x20,20,20,FR,0:19.85,0:00.00,19:26.32,1,20,800.1,1.08,1:39.28,0:49.64,35,57,15,15,4
04/04/2023,05:51:53PM,9,7x20,20,0,REST,0:00.00,0:08.59,19:34.91,1,0,800.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:52:02PM,9,7x20,20,20,FR,0:17.14,0:00.00,19:52.05,1,20,820.1,1.09,1:25.70,0:42.85,33,65,16,16,4
04/04/2023,05:52:19PM,9,7x20,20,0,REST,0:00.00,0:10.58,20:02.63,1,0,820.1,0,0:00.00,0:00.00,0,0,0,0,0
04/04/2023,05:52:30PM,9,7x20,20,20,FR,0:10.31,0:00.00,20:12.94,1,20,840.1,2.07,0:51.57,0:25.79,19,56,9,9,3
04/04/2023,05:52:40PM,9,7x20,20,0,REST,0:00.00,1:40.86,21:53.80,1,0,840.1,0,0:00.00,0:00.00,0,0,0,0,2
04/04/2023,05:54:21PM,10,1x80,80,20,FR,0:22.45,0:00.00,22:16.25,1,20,860.1,0,1:52.20,0:56.10,22,0,0,0,4
04/04/2023,05:54:43PM,10,1x80,80,20,FR,0:21.63,0:00.00,22:37.88,1,20,880.1,1.14,1:48.09,0:54.04,38,53,16,16,5
04/04/2023,05:55:05PM,10,1x80,80,20,FR,0:23.71,0:00.00,23:01.59,1,20,900.1,0,1:58.60,0:59.30,24,0,0,0,4
04/04/2023,05:55:29PM,10,1x80,80,20,FR,0:15.80,0:00.00,23:17.39,1,20,920.1,1.2,1:18.96,0:39.48,31,64,15,15,4
