Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
05/06/2023,,04:06:03PM,04:35:50PM,pool,18.29,,goggles,,2.2.396

Swim Date,Swim Time,Set #,Set,Interval (yd),Length (yd),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (yd),Cumul Dist (yd),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
05/06/2023,04:06:03PM,1,5x20,20,20,FR,0:18.20,0:00.00,0:18.20,1,20,20,1.03,1:30.99,0:45.49,34,62,16,16,4
05/06/2023,04:06:22PM,1,5x20,20,0,REST,0:00.00,0:05.20,0:23.39,1,0,20,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:06:27PM,1,5x20,20,20,FR,0:21.63,0:00.00,0:45.02,1,20,40,0.92,1:48.21,0:54.11,42,57,20,20,4
05/06/2023,04:06:48PM,1,5x20,20,0,REST,0:00.00,0:04.75,0:49.78,1,0,40,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:06:53PM,1,5x20,20,20,FR,0:20.36,0:00.00,1:10.14,1,20,60,0.93,1:41.83,0:50.91,38,62,18,18,4
05/06/2023,04:07:14PM,1,5x20,20,0,REST,0:00.00,0:03.83,1:13.97,1,0,60,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:07:17PM,1,5x20,20,20,FR,0:21.18,0:00.00,1:35.15,1,20,80,0.87,1:45.96,0:52.98,39,59,18,18,4
05/06/2023,04:07:39PM,1,5x20,20,0,REST,0:00.00,0:03.79,1:38.94,1,0,80,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:07:42PM,1,5x20,20,20,FR,0:21.14,0:00.00,2:00.09,1,20,100,0.89,1:45.71,0:52.86,40,59,19,19,4
05/06/2023,04:08:04PM,1,5x20,20,0,REST,0:00.00,0:04.44,2:04.53,1,0,100,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:08:08PM,2,1x40,40,20,FR,0:21.93,0:00.00,2:26.46,1,20,120,0.86,1:49.64,0:54.82,43,58,21,21,4
05/06/2023,04:08:30PM,2,1x40,40,20,FR,0:25.80,0:00.00,2:52.25,1,20,140,0.82,2:08.97,1:04.49,49,57,23,23,4
05/06/2023,04:08:56PM,2,1x40,40,0,REST,0:00.00,0:05.12,2:57.37,1,0,140,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:09:01PM,3,1x20,20,20,FR,0:21.75,0:00.00,3:19.12,1,20,160,0.87,1:48.73,0:54.36,43,59,21,21,4
05/06/2023,04:09:23PM,3,1x20,20,0,REST,0:00.00,0:03.71,3:22.83,1,0,160,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:09:26PM,4,1x40,40,20,FR,0:22.41,0:00.00,3:45.23,1,20,180,0.82,1:52.06,0:56.03,44,59,22,22,4
05/06/2023,04:09:49PM,4,1x40,40,20,FR,0:28.10,0:00.00,4:13.33,1,20,200,0.71,2:20.46,1:10.23,54,61,26,26,4
05/06/2023,04:10:17PM,4,1x40,40,0,REST,0:00.00,0:07.57,4:20.90,1,0,200,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:10:24PM,5,1x20,20,20,FR,0:20.61,0:00.00,4:41.51,1,20,220,1.08,1:42.97,0:51.49,38,60,17,17,5
05/06/2023,04:10:58PM,5,1x20,20,0,REST,0:00.00,0:27.61,5:09.12,1,0,220,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:11:25PM,6,1x80,80,20,FR,0:23.51,0:00.00,5:32.63,1,20,240,0.93,1:57.53,0:58.77,44,60,20,20,4
05/06/2023,04:11:49PM,6,1x80,80,20,FR,0:26.70,0:00.00,5:59.33,1,20,260,0.75,2:13.49,1:06.75,51,61,24,24,4
05/06/2023,04:12:16PM,6,1x80,80,20,FR,0:25.82,0:00.00,6:25.15,1,20,280,0.82,2:09.15,1:04.58,49,59,23,23,4
05/06/2023,04:12:41PM,6,1x80,80,20,FR,0:26.74,0:00.00,6:51.89,1,20,300,0.78,2:13.69,1:06.84,51,57,24,24,4
05/06/2023,04:13:08PM,6,1x80,80,0,REST,0:00.00,0:20.50,7:12.39,1,0,300,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:13:29PM,7,1x40,40,20,FR,0:10.74,0:00.00,7:23.13,1,20,320,2.09,0:53.69,0:26.85,19,59,8,8,3
05/06/2023,04:13:39PM,7,1x40,40,20,BR,0:25.14,0:00.00,7:48.27,1,20,340,9.4,2:05.78,1:02.89,27,6,2,2,4
05/06/2023,04:14:05PM,7,1x40,40,0,REST,0:00.00,0:08.32,7:56.59,1,0,340,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:14:13PM,8,10x20,20,20,FR,0:20.26,0:00.00,8:16.85,1,20,360,1.02,1:41.26,0:50.63,37,58,17,17,4
05/06/2023,04:14:33PM,8,10x20,20,0,REST,0:00.00,0:05.77,8:22.62,1,0,360,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:14:39PM,8,10x20,20,20,FR,0:22.39,0:00.00,8:45.01,1,20,380,0.91,1:51.92,0:55.96,42,58,20,20,4
05/06/2023,04:15:01PM,8,10x20,20,0,REST,0:00.00,0:10.71,8:55.72,1,0,380,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:15:12PM,8,10x20,20,20,FR,0:21.80,0:00.00,9:17.52,1,20,400,0.93,1:48.99,0:54.49,42,57,20,20,4
05/06/2023,04:15:34PM,8,10x20,20,0,REST,0:00.00,0:05.87,9:23.39,1,0,400,0,0:00.00,0:00.00,0,0,0,0,0
05/06/2023,04:15:40PM,8,10x20,20,20,FR,0:20.69,0:00.00,9:44.08,1,20,420,0.93,1:43.44,0:51.72,41,57,20,20,4
05/06/2023,04:16:00PM,8,10x20,20,0,REST,0:00.00,0:05.78,9:49.85,1,0,420,0,0:00.00,0:00.00,0,0,0,0,0
