Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
06/09/2023,,06:25:58PM,07:03:04PM,pool,18.29,,goggles,,2.2.396

Swim Date,Swim Time,Set #,Set,Interval (yd),Length (yd),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (yd),Cumul Dist (yd),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
06/09/2023,06:25:58PM,1,1x40,40,20,FR,0:19.20,0:00.00,0:19.20,1,20,20,1.01,1:36.05,0:48.03,37,58,18,18,4
06/09/2023,06:26:17PM,1,1x40,40,20,FR,0:23.82,0:00.00,0:43.02,1,20,40,0.85,1:59.06,0:59.53,46,58,22,22,4
06/09/2023,06:26:41PM,1,1x40,40,0,REST,0:00.00,0:03.67,0:46.69,1,0,40,0,0:00.00,0:00.00,0,0,0,0,0
06/09/2023,06:26:44PM,2,1x20,20,20,FR,0:20.49,0:00.00,1:07.19,1,20,60,1.02,1:42.51,0:51.26,37,57,17,17,4
06/09/2023,06:27:05PM,2,1x20,20,0,REST,0:00.00,0:03.39,1:10.57,1,0,60,0,0:00.00,0:00.00,0,0,0,0,0
06/09/2023,06:27:08PM,3,1x160,160,20,FR,0:20.71,0:00.00,1:31.29,1,20,80,0.93,1:43.56,0:51.78,38,56,17,17,4
06/09/2023,06:27:29PM,3,1x160,160,20,FR,0:24.58,0:00.00,1:55.87,1,20,100,0.96,2:02.91,1:01.45,44,56,19,19,4
06/09/2023,06:27:54PM,3,1x160,160,20,FR,0:24.93,0:00.00,2:20.80,1,20,120,0.89,2:04.75,1:02.37,46,56,21,21,4
06/09/2023,06:28:19PM,3,1x160,160,20,FR,0:25.40,0:00.00,2:46.20,1,20,140,0.94,2:07.00,1:03.50,45,54,20,20,4
06/09/2023,06:28:44PM,3,1x160,160,20,FR,0:24.90,0:00.00,3:11.10,1,20,160,0.82,2:04.58,1:02.29,48,57,23,23,4
