Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
04/17/2023,,06:16:08PM,06:51:34PM,pool,18.29,,goggles,,2.2.396

Swim Date,Swim Time,Set #,Set,Interval (yd),Length (yd),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (yd),Cumul Dist (yd),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
04/17/2023,06:16:08PM,1,2x40,40,20,FR,0:19.75,0:00.00,0:19.75,1,20,20,1.13,1:38.75,0:49.37,36,57,16,16,4
04/17/2023,06:16:28PM,1,2x40,40,20,FR,0:26.75,0:00.00,0:46.50,1,20,40,0.74,2:13.69,1:06.84,52,59,25,25,4
04/17/2023,06:16:55PM,1,2x40,40,0,REST,0:00.00,0:03.89,0:50.39,1,0,40,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:16:59PM,1,2x40,40,20,FR,0:20.83,0:00.00,1:11.22,1,20,60,0.97,1:44.15,0:52.07,40,57,19,19,4
04/17/2023,06:17:20PM,1,2x40,40,20,FR,0:25.28,0:00.00,1:36.50,1,20,80,0.81,2:06.47,1:03.24,48,57,23,23,4
04/17/2023,06:17:45PM,1,2x40,40,0,REST,0:00.00,0:21.77,1:58.28,1,0,80,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:18:07PM,2,4x20,20,20,REST,0:00.00,0:55.52,2:53.80,1,20,100,0,4:37.94,2:18.97,56,0,0,0,10
04/17/2023,06:19:02PM,2,4x20,20,0,REST,0:00.00,0:34.25,3:28.04,1,0,100,0,0:00.00,0:00.00,0,0,0,0,1
04/17/2023,06:19:36PM,2,4x20,20,20,REST,0:00.00,0:45.21,4:13.26,1,20,120,0,3:46.34,1:53.17,45,0,0,0,8
04/17/2023,06:20:22PM,2,4x20,20,0,REST,0:00.00,0:22.45,4:35.71,1,0,120,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:20:44PM,2,4x20,20,20,REST,0:00.00,0:52.20,5:27.91,1,20,140,0,4:21.26,2:10.63,52,0,0,0,9
04/17/2023,06:21:36PM,2,4x20,20,0,REST,0:00.00,0:31.78,5:59.69,1,0,140,0,0:00.00,0:00.00,0,0,0,0,1
04/17/2023,06:22:08PM,2,4x20,20,20,REST,0:00.00,0:37.87,6:37.56,1,20,160,0,3:09.32,1:34.66,38,0,0,0,7
04/17/2023,06:22:46PM,2,4x20,20,0,REST,0:00.00,0:19.67,6:57.23,1,0,160,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:23:06PM,3,1x60,60,20,FR,0:20.65,0:00.00,7:17.88,1,20,180,0.87,1:43.21,0:51.60,41,64,20,20,4
04/17/2023,06:23:26PM,3,1x60,60,20,FR,0:25.07,0:00.00,7:42.95,1,20,200,0.79,2:05.43,1:02.72,49,61,24,24,4
04/17/2023,06:23:51PM,3,1x60,60,20,FR,0:24.91,0:00.00,8:07.86,1,20,220,0.79,2:04.58,1:02.29,48,62,23,23,4
04/17/2023,06:24:16PM,3,1x60,60,0,REST,0:00.00,0:06.42,8:14.29,1,0,220,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:24:23PM,4,1x20,20,20,FR,0:19.85,0:00.00,8:34.14,1,20,240,0.83,1:39.28,0:49.64,38,63,18,18,4
04/17/2023,06:24:42PM,4,1x20,20,0,REST,0:00.00,0:28.27,9:02.41,1,0,240,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:25:11PM,5,2x20,20,20,REST,0:00.00,0:46.74,9:49.15,1,20,260,0,3:53.86,1:56.93,47,0,0,0,8
04/17/2023,06:25:58PM,5,2x20,20,0,REST,0:00.00,0:06.03,9:55.18,1,0,260,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:26:04PM,5,2x20,20,20,REST,0:00.00,0:33.38,10:28.56,1,20,280,0,2:46.86,1:23.43,33,0,0,0,5
04/17/2023,06:26:37PM,5,2x20,20,0,REST,0:00.00,0:12.12,10:40.68,1,0,280,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:26:49PM,6,1x40,40,20,REST,0:00.00,0:33.70,11:14.39,1,20,300,0,2:48.40,1:24.20,34,0,0,0,7
04/17/2023,06:27:23PM,6,1x40,40,20,REST,0:00.00,0:52.40,12:06.78,1,20,320,0,4:22.01,2:11.00,52,0,0,0,5
04/17/2023,06:28:15PM,6,1x40,40,0,REST,0:00.00,0:18.49,12:25.28,1,0,320,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:28:34PM,7,4x20,20,20,FR,0:17.88,0:00.00,12:43.16,1,20,340,0,1:29.39,0:44.69,18,0,0,0,4
04/17/2023,06:28:52PM,7,4x20,20,0,REST,0:00.00,0:04.55,12:47.71,1,0,340,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:28:56PM,7,4x20,20,20,FR,0:20.93,0:00.00,13:08.64,1,20,360,0.89,1:44.62,0:52.31,41,61,20,20,4
04/17/2023,06:29:17PM,7,4x20,20,0,REST,0:00.00,0:06.08,13:14.72,1,0,360,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:29:23PM,7,4x20,20,20,FR,0:20.35,0:00.00,13:35.07,1,20,380,0.89,1:41.71,0:50.86,41,63,21,21,4
04/17/2023,06:29:43PM,7,4x20,20,0,REST,0:00.00,0:04.15,13:39.22,1,0,380,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:29:48PM,7,4x20,20,20,FR,0:21.41,0:00.00,14:00.63,1,20,400,0.89,1:47.07,0:53.54,41,61,20,20,4
04/17/2023,06:30:09PM,7,4x20,20,0,REST,0:00.00,0:53.09,14:53.73,1,0,400,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:31:02PM,8,4x20,20,20,REST,0:00.00,0:24.76,15:18.49,1,20,420,0,2:03.74,1:01.87,25,0,0,0,4
04/17/2023,06:31:27PM,8,4x20,20,0,REST,0:00.00,0:05.41,15:23.89,1,0,420,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:31:32PM,8,4x20,20,20,REST,0:00.00,0:19.30,15:43.20,1,20,440,0,1:36.56,0:48.28,19,0,0,0,4
04/17/2023,06:31:52PM,8,4x20,20,0,REST,0:00.00,0:11.33,15:54.53,1,0,440,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:32:03PM,8,4x20,20,20,REST,0:00.00,0:17.56,16:12.09,1,20,460,0,1:27.84,0:43.92,18,0,0,0,4
04/17/2023,06:32:20PM,8,4x20,20,0,REST,0:00.00,0:50.67,17:02.76,1,0,460,0,0:00.00,0:00.00,0,0,0,0,1
04/17/2023,06:33:11PM,8,4x20,20,20,REST,0:00.00,0:20.00,17:22.75,1,20,480,0,1:39.94,0:49.97,20,0,0,0,4
04/17/2023,06:33:31PM,8,4x20,20,0,REST,0:00.00,0:17.69,17:40.44,1,0,480,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:33:49PM,9,1x100,100,20,FR,0:16.41,0:00.00,17:56.85,1,20,500,1.1,1:22.08,0:41.04,33,64,17,17,4
04/17/2023,06:34:05PM,9,1x100,100,20,FR,0:24.76,0:00.00,18:21.62,1,20,520.1,0.75,2:03.74,1:01.87,50,63,25,25,4
04/17/2023,06:34:30PM,9,1x100,100,20,FR,0:25.08,0:00.00,18:46.70,1,20,540.1,0.85,2:05.43,1:02.72,47,61,22,22,4
04/17/2023,06:34:55PM,9,1x100,100,20,FR,0:26.14,0:00.00,19:12.83,1,20,560.1,0.72,2:10.63,1:05.32,52,64,26,26,4
04/17/2023,06:35:21PM,9,1x100,100,20,FR,0:26.27,0:00.00,19:39.11,1,20,580.1,0.79,2:11.38,1:05.69,48,61,22,22,4
04/17/2023,06:35:47PM,9,1x100,100,0,REST,0:00.00,0:05.29,19:44.39,1,0,580.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:35:53PM,10,3x20,20,20,FR,0:22.31,0:00.00,20:06.70,1,20,600.1,0.82,1:51.51,0:55.76,44,64,22,22,4
04/17/2023,06:36:15PM,10,3x20,20,0,REST,0:00.00,0:05.41,20:12.11,1,0,600.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:36:20PM,10,3x20,20,20,FR,0:21.60,0:00.00,20:33.71,1,20,620.1,0.86,1:47.96,0:53.98,41,61,19,19,4
04/17/2023,06:36:42PM,10,3x20,20,0,REST,0:00.00,0:05.00,20:38.71,1,0,620.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:36:47PM,10,3x20,20,20,FR,0:21.39,0:00.00,21:00.10,1,20,640.1,0.89,1:46.95,0:53.47,40,60,19,19,4
04/17/2023,06:37:08PM,10,3x20,20,0,REST,0:00.00,0:16.42,21:16.53,1,0,640.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:37:25PM,11,1x40,40,20,REST,0:00.00,0:21.14,21:37.66,1,20,660.1,0,1:45.71,0:52.86,21,0,0,0,4
04/17/2023,06:37:46PM,11,1x40,40,20,REST,0:00.00,0:25.85,22:03.52,1,20,680.1,0,2:09.34,1:04.67,26,0,0,0,4
04/17/2023,06:38:12PM,11,1x40,40,0,REST,0:00.00,0:05.17,22:08.69,1,0,680.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:38:17PM,12,2x20,20,20,REST,0:00.00,0:19.94,22:28.63,1,20,700.1,0,1:39.72,0:49.86,20,0,0,0,4
04/17/2023,06:38:37PM,12,2x20,20,0,REST,0:00.00,0:06.24,22:34.88,1,0,700.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:38:43PM,12,2x20,20,20,REST,0:00.00,0:19.66,22:54.53,1,20,720.1,0,1:38.32,0:49.16,20,0,0,0,4
04/17/2023,06:39:03PM,12,2x20,20,0,REST,0:00.00,0:46.50,23:41.03,1,0,720.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:39:49PM,13,1x60,60,20,FR,0:15.21,0:00.00,23:56.24,1,20,740.1,1.1,1:16.07,0:38.04,32,68,17,17,3
04/17/2023,06:40:05PM,13,1x60,60,20,FR,0:25.69,0:00.00,24:21.93,1,20,760.1,0.75,2:08.43,1:04.21,50,63,24,24,4
04/17/2023,06:40:30PM,13,1x60,60,20,FR,0:25.98,0:00.00,24:47.91,1,20,780.1,0.75,2:09.89,1:04.94,51,63,25,25,4
04/17/2023,06:40:56PM,13,1x60,60,0,REST,0:00.00,0:06.16,24:54.07,1,0,780.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:41:02PM,14,2x20,20,20,FR,0:21.89,0:00.00,25:15.95,1,20,800.1,0.82,1:49.38,0:54.69,43,64,21,21,4
04/17/2023,06:41:24PM,14,2x20,20,0,REST,0:00.00,0:04.09,25:20.05,1,0,800.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:41:28PM,14,2x20,20,20,FR,0:20.21,0:00.00,25:40.26,1,20,820.1,0.93,1:41.04,0:50.52,39,64,19,19,4
04/17/2023,06:41:49PM,14,2x20,20,0,REST,0:00.00,0:05.99,25:46.25,1,0,820.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:41:55PM,15,1x60,60,20,FR,0:20.09,0:00.00,26:06.34,1,20,840.1,0.85,1:40.48,0:50.24,42,66,22,22,4
04/17/2023,06:42:15PM,15,1x60,60,20,FR,0:25.21,0:00.00,26:31.55,1,20,860.1,0.81,2:06.13,1:03.06,48,63,23,23,4
04/17/2023,06:42:40PM,15,1x60,60,20,FR,0:24.53,0:00.00,26:56.09,1,20,880.1,0.72,2:02.74,1:01.37,51,68,26,26,4
04/17/2023,06:43:04PM,15,1x60,60,0,REST,0:00.00,0:48.90,27:44.99,1,0,880.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:43:53PM,16,2x20,20,20,REST,0:00.00,0:16.92,28:01.90,1,20,900.1,0,1:24.59,0:42.29,17,0,0,0,4
04/17/2023,06:44:10PM,16,2x20,20,0,REST,0:00.00,0:03.81,28:05.71,1,0,900.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:44:14PM,16,2x20,20,20,REST,0:00.00,0:17.72,28:23.43,1,20,920.1,0,1:28.61,0:44.30,18,0,0,0,4
04/17/2023,06:44:32PM,16,2x20,20,0,REST,0:00.00,0:05.09,28:28.51,1,0,920.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:44:37PM,17,2x40,40,20,REST,0:00.00,0:16.88,28:45.39,1,20,940.1,0,1:24.36,0:42.18,17,0,0,0,4
04/17/2023,06:44:54PM,17,2x40,40,20,REST,0:00.00,0:29.91,29:15.30,1,20,960.1,0,2:29.66,1:14.83,30,0,0,0,4
04/17/2023,06:45:24PM,17,2x40,40,0,REST,0:00.00,0:29.49,29:44.79,1,0,960.1,0,0:00.00,0:00.00,0,0,0,0,1
04/17/2023,06:45:53PM,17,2x40,40,20,REST,0:00.00,0:18.81,30:03.59,1,20,980.1,0,1:34.08,0:47.04,19,0,0,0,4
04/17/2023,06:46:12PM,17,2x40,40,20,REST,0:00.00,0:20.81,30:24.40,1,20,1000.1,0,1:44.03,0:52.01,21,0,0,0,4
04/17/2023,06:46:33PM,17,2x40,40,0,REST,0:00.00,0:04.66,30:29.06,1,0,1000.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:46:37PM,18,2x20,20,20,REST,0:00.00,0:17.25,30:46.30,1,20,1020.1,0,1:26.27,0:43.13,17,0,0,0,4
04/17/2023,06:46:55PM,18,2x20,20,0,REST,0:00.00,0:09.71,30:56.01,1,0,1020.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:47:04PM,18,2x20,20,20,REST,0:00.00,0:16.40,31:12.41,1,20,1040.1,0,1:22.01,0:41.00,16,0,0,0,4
04/17/2023,06:47:21PM,18,2x20,20,0,REST,0:00.00,0:27.94,31:40.35,1,0,1040.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:47:49PM,19,1x20,20,20,FR,0:19.68,0:00.00,32:00.03,1,20,1060.1,0.93,1:38.43,0:49.21,38,68,18,18,4
04/17/2023,06:48:08PM,19,1x20,20,0,REST,0:00.00,0:19.48,32:19.50,1,0,1060.1,0,0:00.00,0:00.00,0,0,0,0,0
04/17/2023,06:48:28PM,20,1x40,40,20,FR,0:20.62,0:00.00,32:40.13,1,20,1080.1,0.84,1:43.09,0:51.55,42,65,21,21,4
04/17/2023,06:48:48PM,20,1x40,40,20,FR,0:27.99,0:00.00,33:08.11,1,20,1100.1,0.72,2:20.03,1:10.02,54,61,26,26,4
04/17/2023,06:49:16PM,20,1x40,40,0,REST,0:00.00,0:05.37,33:13.48,1,0,1100.1,0,0:00.00,0:00.00,0,0,0,0,0
