Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
06/02/2023,,05:54:07PM,06:21:33PM,pool,18.29,,goggles,,2.2.396

Swim Date,Swim Time,Set #,Set,Interval (yd),Length (yd),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (yd),Cumul Dist (yd),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
06/02/2023,05:54:07PM,1,2x20,20,20,FR,0:23.03,0:00.00,0:23.03,1,20,20,0.92,1:55.17,0:57.58,42,53,19,19,4
06/02/2023,05:54:30PM,1,2x20,20,0,REST,0:00.00,0:05.56,0:28.59,1,0,20,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,05:54:36PM,1,2x20,20,20,FR,0:24.03,0:00.00,0:52.63,1,20,40,0.9,2:00.16,1:00.08,43,51,19,19,4
06/02/2023,05:55:00PM,1,2x20,20,0,REST,0:00.00,0:04.70,0:57.33,1,0,40,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,05:55:05PM,2,1x60,60,20,FR,0:23.69,0:00.00,1:21.01,1,20,60,0.91,1:58.45,0:59.22,44,53,20,20,4
06/02/2023,05:55:28PM,2,1x60,60,20,FR,0:28.49,0:00.00,1:49.50,1,20,80,0.81,2:22.43,1:11.22,51,52,23,23,4
06/02/2023,05:55:57PM,2,1x60,60,20,FR,0:28.66,0:00.00,2:18.17,1,20,100,1.05,2:23.32,1:11.66,45,51,16,16,4
06/02/2023,05:56:26PM,2,1x60,60,0,REST,0:00.00,0:04.46,2:22.63,1,0,100,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,05:56:30PM,3,1x20,20,20,FR,0:22.84,0:00.00,2:45.47,1,20,120,0.91,1:54.16,0:57.08,41,54,18,18,4
06/02/2023,05:56:53PM,3,1x20,20,0,REST,0:00.00,0:22.69,3:08.16,1,0,120,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,05:57:16PM,4,2x40,40,20,FR,0:24.64,0:00.00,3:32.80,1,20,140,1.1,2:03.24,1:01.62,43,51,18,18,3
06/02/2023,05:57:39PM,4,2x40,40,20,FR,0:23.63,0:00.00,3:56.43,1,20,160,1.1,1:58.14,0:59.07,42,51,18,18,3
06/02/2023,05:58:04PM,4,2x40,40,0,REST,0:00.00,0:11.75,4:08.18,1,0,160,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,05:58:16PM,4,2x40,40,20,BR,0:13.28,0:00.00,4:21.46,1,20,180,9.33,1:06.41,0:33.20,15,9,2,2,3
06/02/2023,05:58:29PM,4,2x40,40,20,FR,0:27.67,0:00.00,4:49.13,1,20,200,0.72,2:18.34,1:09.17,54,63,26,26,4
06/02/2023,05:58:57PM,4,2x40,40,0,REST,0:00.00,0:07.35,4:56.48,1,0,200,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,05:59:04PM,5,1x60,60,20,REST,0:00.00,0:08.91,5:05.39,1,20,220,0,0:44.56,0:22.28,9,0,0,0,3
06/02/2023,05:59:13PM,5,1x60,60,20,REST,0:00.00,0:42.38,5:47.78,1,20,240,0,3:32.16,1:46.08,42,0,0,0,8
06/02/2023,05:59:55PM,5,1x60,60,20,REST,0:00.00,0:15.38,6:03.16,1,20,260,0,1:16.91,0:38.45,15,0,0,0,4
06/02/2023,06:00:11PM,5,1x60,60,0,REST,0:00.00,0:20.77,6:23.94,1,0,260,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,06:00:31PM,6,3x20,20,20,REST,0:00.00,0:38.16,7:02.10,1,20,280,0,3:10.90,1:35.45,38,0,0,0,7
06/02/2023,06:01:10PM,6,3x20,20,0,REST,0:00.00,0:34.47,7:36.57,1,0,280,0,0:00.00,0:00.00,0,0,0,0,1
06/02/2023,06:01:44PM,6,3x20,20,20,REST,0:00.00,0:30.51,8:07.08,1,20,300,0,2:32.66,1:16.33,31,0,0,0,7
06/02/2023,06:02:14PM,6,3x20,20,0,REST,0:00.00,0:46.94,8:54.01,1,0,300,0,0:00.00,0:00.00,0,0,0,0,1
06/02/2023,06:03:01PM,6,3x20,20,20,REST,0:00.00,0:33.15,9:27.17,1,20,320,0,2:45.65,1:22.83,33,0,0,0,7
06/02/2023,06:03:35PM,6,3x20,20,0,REST,0:00.00,0:25.22,9:52.38,1,0,320,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,06:04:00PM,7,10x20,20,20,FR,0:21.06,0:00.00,10:13.44,1,20,340,1.03,1:45.35,0:52.67,37,52,16,16,4
06/02/2023,06:04:21PM,7,10x20,20,0,REST,0:00.00,0:07.02,10:20.47,1,0,340,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,06:04:28PM,7,10x20,20,20,FR,0:21.15,0:00.00,10:41.62,1,20,360,1.13,1:45.71,0:52.86,36,50,15,15,4
