Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
06/17/2023,,12:54:10PM,01:39:13PM,pool,18.29,,goggles,,2.2.396

Swim Date,Swim Time,Set #,Set,Interval (yd),Length (yd),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (yd),Cumul Dist (yd),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
06/17/2023,12:54:10PM,1,2x60,60,20,FR,0:18.06,0:00.00,0:18.06,1,20,20,1.01,1:30.27,0:45.13,36,62,18,18,4
06/17/2023,12:54:28PM,1,2x60,60,20,FR,0:22.99,0:00.00,0:41.05,1,20,40,0.87,1:55.02,0:57.51,44,60,21,21,4
06/17/2023,12:54:51PM,1,2x60,60,20,FR,0:22.29,0:00.00,1:03.34,1,20,60,0.98,1:51.38,0:55.69,41,58,19,19,4
06/17/2023,12:55:14PM,1,2x60,60,0,REST,0:00.00,0:03.23,1:06.58,1,0,60,0,0:00.00,0:00.00,0,0,0,0,0
06/17/2023,12:55:17PM,1,2x60,60,20,FR,0:21.53,0:00.00,1:28.11,1,20,80,0.89,1:47.70,0:53.85,40,58,18,18,4
06/17/2023,12:55:39PM,1,2x60,60,20,FR,0:23.28,0:00.00,1:51.39,1,20,100,0.86,1:56.49,0:58.24,44,60,21,21,4
06/17/2023,12:56:02PM,1,2x60,60,20,FR,0:25.14,0:00.00,2:16.53,1,20,120,0.83,2:05.78,1:02.89,47,60,22,22,4
06/17/2023,12:56:27PM,1,2x60,60,0,REST,0:00.00,0:06.84,2:23.37,1,0,120,0,0:00.00,0:00.00,0,0,0,0,0
06/17/2023,12:56:34PM,2,1x20,20,20,FR,0:21.40,0:00.00,2:44.77,1,20,140,0.9,1:46.95,0:53.47,40,58,19,19,4
06/17/2023,12:56:55PM,2,1x20,20,0,REST,0:00.00,0:04.75,2:49.52,1,0,140,0,0:00.00,0:00.00,0,0,0,0,0
06/17/2023,12:57:00PM,3,1x320,320,20,FR,0:20.53,0:00.00,3:10.05,1,20,160,0.96,1:42.63,0:51.31,40,57,19,19,4
06/17/2023,12:57:20PM,3,1x320,320,20,FR,0:25.51,0:00.00,3:35.57,1,20,180,0.87,2:07.53,1:03.77,47,57,21,21,4
