Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
06/02/2023,,06:22:35PM,07:01:16PM,pool,18.29,,goggles,,2.2.396

Swim Date,Swim Time,Set #,Set,Interval (yd),Length (yd),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (yd),Cumul Dist (yd),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
06/02/2023,06:22:35PM,1,1x60,60,20,FR,0:20.20,0:00.00,0:20.20,1,20,20,1.07,1:40.93,0:50.46,35,54,15,15,4
06/02/2023,06:22:56PM,1,1x60,60,20,FR,0:27.47,0:00.00,0:47.66,1,20,40,0.9,2:17.30,1:08.65,47,51,20,20,4
06/02/2023,06:23:23PM,1,1x60,60,20,FR,0:26.18,0:00.00,1:13.84,1,20,60,0.94,2:10.82,1:05.41,46,50,20,20,4
06/02/2023,06:23:49PM,1,1x60,60,0,REST,0:00.00,0:04.19,1:18.03,1,0,60,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,06:23:54PM,2,5x20,20,20,FR,0:22.31,0:00.00,1:40.35,1,20,80,0.98,1:51.51,0:55.76,38,54,16,16,4
06/02/2023,06:24:16PM,2,5x20,20,0,REST,0:00.00,0:04.30,1:44.65,1,0,80,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,06:24:20PM,2,5x20,20,20,FR,0:24.15,0:00.00,2:08.80,1,20,100,0.87,2:00.79,1:00.40,45,53,21,21,4
06/02/2023,06:24:44PM,2,5x20,20,0,REST,0:00.00,0:02.10,2:10.89,1,0,100,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,06:24:46PM,2,5x20,20,20,FR,0:26.41,0:00.00,2:37.31,1,20,120,0.91,2:12.14,1:06.07,45,51,19,19,4
06/02/2023,06:25:13PM,2,5x20,20,0,REST,0:00.00,0:04.30,2:41.60,1,0,120,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,06:25:17PM,2,5x20,20,20,FR,0:23.99,0:00.00,3:05.59,1,20,140,0.84,2:00.00,1:00.00,42,53,18,18,4
06/02/2023,06:25:41PM,2,5x20,20,0,REST,0:00.00,0:03.93,3:09.52,1,0,140,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,06:25:45PM,2,5x20,20,20,FR,0:23.22,0:00.00,3:32.74,1,20,160,0.98,1:56.04,0:58.02,40,54,17,17,4
06/02/2023,06:26:08PM,2,5x20,20,0,REST,0:00.00,0:18.13,3:50.86,1,0,160,0,0:00.00,0:00.00,0,0,0,0,0
06/02/2023,06:26:26PM,3,8x20,20,20,REST,0:00.00,0:31.57,4:22.43,1,20,180,0,2:37.93,1:18.96,32,0,0,0,5
