Date,Weight
2016-03-13,160.0
2017-09-14,160.0
2018-07-13,160.0
2021-01-06,165.0
2021-09-12,171.0
2022-12-10,166.4
2023-02-16,162.0
2023-04-25,160.0
2023-06-18,156.6
2023-08-09,161.2
2023-08-14,161.0
2023-08-26,161.0
2023-09-05,164.6
2023-09-08,165.0
2023-09-21,165.6
2023-10-11,167.2
2023-10-15,168.4
2023-10-21,171.8
