Activity Name,Date,Duration,Avg Power,Normalized Power,Max Power,Max HR,Avg Cadence,Max Cadence,Avg Speed,Max Speed,Distance,IF,TSS,CSV File,CSV File version,FIT File,Platform,App Version,Notes,Sport,PowerProfile:FTP,PowerProfile:NM,PowerProfile:AC,PowerProfile:MAP,User Weight (kg),Playback Type,TimeZone,Upload Time,Power Device,HR Device,Cadence Device,Speed Device,Speed Source,Deleted
Fairless,12/26/2022 22:11:57,00:21:55,100,102,128,0,,0,14.8,16,5.371,0.60,13,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=W2NwbR7IIV,"""iPhone""",7.56.0,This activity was recovered.,Cycling,169,641,294,240,74.8428300569,streaming,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,,,Virtual Speed,,false
Endurance 2,07/08/2023 15:52:15,00:20:48,112,114,371,0,76,95,15.5,17,5.377,0.59,12,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=up1TQBXmoU,"""iPhone""",7.64.0,,Cycling,195,882,310,275,72,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,,Wahoo CADENCE 4D09,Virtual Speed,,false
I. Boswell 4: Race Winning Efforts,01/10/2024 00:25:05,00:19:18,127,141,268,0,83,114,16.2,21,5.206,0.72,17,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=DCOxCBiTBg,"""iPhone""",7.71.0,,Cycling,195,882,310,275,72.5748655097,streaming,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,,Wahoo CADENCE 4D09,Virtual Speed,,false
FTP/MAP High Cadence: 6 x 1,02/20/2024 02:07:28,00:17:31,127,149,250,0,91,125,16,21.3,4.679,0.77,17,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=ph9MOuJzoT,"""iPhone""",7.71.0,,Cycling,195,882,310,275,72.5748655097,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,,Wahoo CADENCE 4D09,Virtual Speed,,false
Endurance 2,06/10/2023 17:42:40,00:17:05,109,111,255,138,63,77,15.1,16.6,4.302,0.57,9,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=BluE9PlMEk,"""iPhone""",7.61.0,,Cycling,195,882,310,275,72,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,TICKR 421F,Wahoo CADENCE 4D09,Virtual Speed,,false
Med. Coast: Nice to Menton,06/10/2023 17:27:21,00:14:57,114,118,293,142,63,102,15.5,17.8,3.849,0.61,9,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=BKKUBM2Rf1,"""iPhone""",7.61.0,,Cycling,195,882,310,275,72,streaming,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,TICKR 421F,Wahoo CADENCE 4D09,Virtual Speed,,false
Half Monty (Ramp Test),03/01/2023 20:59:11,00:11:40,103,118,299,153,,0,9.8,13.6,1.901,0.70,9,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=8GXRhKe59G,"""iPhone""",7.57.0,,Cycling,169,642,259,235,74,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,TICKR 421F,,KICKR SNAP A9D8,,false
Full Frontal (4DP Test),12/24/2022 21:35:19,00:02:38,118,132,231,0,,0,11.8,16.1,0.435,0.88,3,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=N8WYiXuyCQ,"""iPhone""",7.56.0,This activity was recovered.,Cycling,150,442,242,188,74.8428300569,streaming,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,,,Virtual Speed,,true
Endurance 1,07/08/2023 23:04:13,00:02:29,92,92,143,0,72,93,13.1,15,0.55,0.47,1,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=FB5NYSBSWa,"""iPhone""",7.64.0,,Cycling,195,882,310,275,72,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,,Wahoo CADENCE 4D09,Virtual Speed,,false
Recovery Spin,07/01/2023 16:28:46,00:02:02,94,87,172,132,73,84,13.6,14.8,0.439,0.44,1,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=aGQRDmQ4Nf,"""iPhone""",7.64.0,This activity was recovered.,Cycling,195,882,310,275,72,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,TICKR 421F,Wahoo CADENCE 4D09,Virtual Speed,,true
A Dog's Life 1,01/08/2023 23:26:49,00:01:02,63,59,87,0,,0,9.9,13.2,0.135,0.35,0,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=jl9vkB5mvu,"""iPhone""",7.56.0,This activity was recovered.,Cycling,169,641,294,240,74.8428300569,streaming,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,,,Virtual Speed,,true
Sub-Threshold: 3 x 20,07/08/2023 14:41:06,00:00:29,,0,0,0,35,81,0,0,0,0,0,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=oRjkDhfyy2,"""iPhone""",7.64.0,,Cycling,195,882,310,275,72,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,,Wahoo CADENCE 4D09,Virtual Speed,,false
